Condition,Price,Mileage,Model_Year,Make,Model,Type,OBO,Seller_Status,Vehicle_Tile
Used,8500,10319,2008.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,18000,29544,2010.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,6700,8950,2004.0,Harley-Davidson,Softail,Sport Touring,False,private seller,Clear
Used,18000,5600,2015.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,6800,55782,2003.0,Harley-Davidson,Softail,Cruiser,True,private seller,Clear
Used,5000,1350,2003.0,Harley-Davidson,Sportster,Cruiser,False,private seller,Clear
Used,13200,15400,2011.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,11400,1533,2012.0,Harley-Davidson,Touring,Sport Touring,False,dealer,Clear
Used,3250,22896,2003.0,Harley-Davidson,Sportster,Cruiser,False,private seller,Clear
Used,8000,24742,2012.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,17800,1500,2016.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,8500,51000,2003.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,4050,6650,2006.0,Harley-Davidson,Softail,Cruiser,False,private seller,Clear
Used,24999,5184,2013.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,7200,37500,2005.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,10500,6599,2013.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,630,999999,1964.0,Harley-Davidson,Other,Other,False,dealer,Clear
Used,9050,39242,2008.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,4050,6650,2006.0,Harley-Davidson,Softail,Cruiser,False,private seller,Clear
Used,12500,10000,2011.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,23000,37600,2006.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,34900,12649,2014.0,Harley-Davidson,Touring,Other,False,private seller,Clear
Used,5000,1350,2003.0,Harley-Davidson,Sportster,Cruiser,False,private seller,Clear
Used,6500,13000,2005.0,Harley-Davidson,Softail,Standard,False,private seller,Clear
Used,13500,3644,2012.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,3250,22896,2003.0,Harley-Davidson,Sportster,Cruiser,False,private seller,Clear
Used,11000,16500,2009.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,9500,14950,2003.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,19999,48505,2000.0,Harley-Davidson,Touring,Other,True,dealer,Clear
Used,6500,55300,1986.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,13500,34696,2012.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,5655,1530,2015.0,Harley-Davidson,Other,Other,False,private seller,Clear
Used,8800,39242,2008.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,11995,4065,1972.0,Harley-Davidson,Touring,Sport Touring,False,private seller,Clear
Used,9900,21300,2003.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,500,13000,2008.0,Harley-Davidson,Touring,Other,False,owner,Clear
Used,15500,21760,2006.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,12000,34530,2008.0,Harley-Davidson,Softail,Other,True,private seller,Clear
Used,14000,10700,2007.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,23749,22000,2012.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,7500,41500,2006.0,Harley-Davidson,Softail,Cruiser,True,private seller,Clear
Used,2025,48985,2003.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,15100,2571,2015.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,18999,2600,2014.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,16000,955,2016.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,3500,30000,1990.0,Harley-Davidson,Sportster,Other,False,private seller,Clear
Used,21900,1067,2017.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,18500,2600,2014.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,9499,46000,2003.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,9500,28000,2008.0,Harley-Davidson,Touring,Touring,True,owner,Clear
Used,6500,9490,2007.0,Harley-Davidson,Softail,Standard,False,private seller,Clear
Used,4350,3964,2006.0,Harley-Davidson,Sportster,Cruiser,True,private seller,Clear
Used,13400,12500,2008.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,7999,20000,2008.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,12500,216,2015.0,Harley-Davidson,Softail,Cruiser,False,dealer,Clear
Used,1225,70000,2003.0,Harley-Davidson,Touring,Sport Touring,False,private seller,Clear
Used,13995,2182,2012.0,Harley-Davidson,Softail,Cruiser,False,private seller,Clear
Used,1050,18300,2011.0,Harley-Davidson,Touring,Touring,False,owner,Clear
Used,47720,3355,2016.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,18500,3800,2008.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,5600,420,2009.0,Harley-Davidson,Sportster,Standard,False,private seller,Clear
Used,12500,26000,2012.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,29999,2100,2015.0,Harley-Davidson,Touring,Other,False,private seller,Clear
Used,5999,13015,2003.0,Harley-Davidson,Touring,Cruiser,False,dealer,Clear
Used,19788,241,2017.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,51552,3335,2017.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,7000,6500,2007.0,Harley-Davidson,Touring,Sport Touring,True,private seller,Clear
Used,10750,9000,2001.0,Harley-Davidson,Softail,Cruiser,True,owner,Clear
Used,9900,18081,2009.0,Harley-Davidson,Dyna,Cruiser,False,dealer,Clear
Used,16100,1377,2016.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,7200,17225,2003.0,Harley-Davidson,Softail,Cruiser,False,private seller,Clear
Used,30000,7000,2006.0,Harley-Davidson,Other,Sport Bike,False,private seller,Clear
Used,2500,11390,1989.0,Harley-Davidson,Sportster,Sport Touring,False,private seller,Clear
Used,6950,65100,2006.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,49441,770,2017.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,5000,750,1975.0,Harley-Davidson,Other,Cruiser,False,private seller,Clear
Used,5600,13727,2013.0,Harley-Davidson,Sportster,Standard,False,dealer,Clear
Used,4300,10650,2004.0,Harley-Davidson,Softail,Cruiser,False,private seller,Clear
Used,6000,8610,2010.0,Harley-Davidson,Softail,Cruiser,False,dealer,Clear
Used,6950,65100,2006.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,49441,770,2017.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,8000,8250,1996.0,Harley-Davidson,Softail,Touring,False,private seller,Clear
Used,12999,540,2012.0,Harley-Davidson,Other,Sport Bike,True,private seller,Clear
Used,4800,19300,2008.0,Harley-Davidson,Dyna,Cruiser,False,private seller,Clear
Used,16795,5860,2014.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,9500,24000,2002.0,Harley-Davidson,Touring,Cruiser,False,private seller,Clear
Used,500,27784,2007.0,Harley-Davidson,Touring,Other,False,dealer,Clear
Used,31999,300,2016.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,17000,9001,1975.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,9500,13562,2002.0,Harley-Davidson,Softail,Cruiser,True,private seller,Clear
Used,21300,1200,2015.0,Harley-Davidson,Touring,Other,False,private seller,Clear
Used,8888,38484,2008.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,13600,18441,1966.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,20999,713,2014.0,Harley-Davidson,Softail,Cruiser,True,private seller,Clear
Used,7100,17267,2008.0,Harley-Davidson,Touring,Other,False,dealer,Clear
Used,26100,7023,2015.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,4899,37779,2003.0,Harley-Davidson,Softail,Cruiser,False,dealer,Clear
Used,17000,30053,2007.0,Harley-Davidson,Softail,Standard,False,private seller,Clear
Used,17000,1432,2016.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,19589,6393,2015.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,7000,233,2014.0,Harley-Davidson,Sportster,Standard,True,private seller,Clear
Used,15500,11060,2012.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,60000,971,2004.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,18999,30,2017.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,32888,151,2017.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,13900,1302,2016.0,Harley-Davidson,Dyna,Cruiser,True,dealer,Clear
Used,13495,15466,2015.0,Harley-Davidson,Touring,Cruiser,True,dealer,Clear
Used,30663,6988,2016.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,4750,7775,2007.0,Harley-Davidson,Softail,Standard,False,dealer,Clear
Used,4350,35000,1993.0,Harley-Davidson,Dyna,Cruiser,True,private seller,Clear
Used,13495,15466,2015.0,Harley-Davidson,Touring,Cruiser,True,dealer,Clear
Used,30663,6988,2016.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,13100,7004,2014.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,5990,18000,1977.0,Harley-Davidson,Sportster,Sport Bike,False,private seller,Clear
Used,21997,351,2017.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,5000,11977,2006.0,Harley-Davidson,Softail,Gasoline,False,dealer,Clear
Used,4250,25500,2003.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,36908,8180,2014.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,10900,275,2017.0,Harley-Davidson,Softail,Other,False,private seller,Clear
Used,0,42000,1999.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,26500,25183,2007.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
New,33000,101,2017.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,6950,39334,2007.0,Harley-Davidson,Touring,Other,False,dealer,Clear
Used,31991,3555,2015.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,15000,4024,2014.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,47720,3355,2016.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,25927,3755,2016.0,Harley-Davidson,Softail,Cruiser,False,dealer,Clear
Used,12900,2523,2009.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
New,25000,1300,2016.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,13495,8912,2007.0,Harley-Davidson,Softail,Cruiser,True,dealer,Clear
Used,9288,5042,2011.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,41444,3998,2016.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,17900,41064,2012.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,29994,3996,2015.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,6850,29956,2005.0,Harley-Davidson,Softail,Cruiser,False,dealer,Clear
Used,18500,1231,2016.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,10000,30000,2014.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,22900,1302,2010.0,Harley-Davidson,Other,Cruiser,True,dealer,Clear
Used,19495,2564,2014.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,20995,1566,2016.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,10300,4211,2017.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,10900,275,2017.0,Harley-Davidson,Softail,Other,False,private seller,Clear
Used,19495,4864,2015.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,21000,9874,2011.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,20999,2134,2016.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,8999,18500,2004.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,7100,32606,2012.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,8495,57872,2007.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,4882,51673,2004.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,25927,3755,2016.0,Harley-Davidson,Softail,Cruiser,False,dealer,Clear
Used,0,489,2017.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,26000,860,2017.0,Harley-Davidson,Touring,Other,True,private seller,Clear
Used,33857,2280,2017.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,6000,41257,2003.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,13495,8912,2007.0,Harley-Davidson,Softail,Cruiser,True,dealer,Clear
Used,19500,8381,2016.0,Harley-Davidson,Touring,Cruiser,False,dealer,Clear
Used,51000,3500,2016.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,7000,4750,2009.0,Harley-Davidson,Other,Other,False,private seller,Clear
Used,29500,3409,1940.0,Harley-Davidson,Other,Sport Bike,False,private seller,Clear
Used,6850,29956,2005.0,Harley-Davidson,Softail,Cruiser,False,dealer,Clear
Used,8200,10298,2003.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,29333,1490,2017.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,18877,135,2017.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,12000,16361,2009.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,27999,3059,2015.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,29909,1690,2015.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,7500,450,2016.0,Harley-Davidson,Sportster,Cruiser,False,dealer,Clear
Used,3050,5402,2014.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,19500,2200,2016.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,7250,39701,2006.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,18800,13843,2006.0,Harley-Davidson,Touring,Other,True,dealer,Clear
Used,4150,54329,2006.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,8000,3117,2012.0,Harley-Davidson,Sportster,Standard,True,private seller,Clear
Used,100000,111111,2000.0,Harley-Davidson,Other,Other,False,dealer,Clear
Used,20999,820,2016.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,34000,7530,2013.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,34000,7530,2013.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,18995,11245,2016.0,Harley-Davidson,Touring,Cruiser,True,dealer,Clear
Used,7300,23471,2010.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,8500,15647,2015.0,Harley-Davidson,Sportster,Other,True,private seller,Clear
Used,13500,2584,2003.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
New,113,100,2015.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,33857,2280,2017.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,5100,54101,2008.0,Harley-Davidson,Softail,Standard,False,dealer,Clear
Used,5750,83260,2005.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,6500,54170,2006.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,21000,1300,2016.0,Harley-Davidson,Touring,Other,True,private seller,Clear
Used,39919,1770,2017.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,17995,10189,2016.0,Harley-Davidson,Touring,Cruiser,True,dealer,Clear
Used,6000,38265,2005.0,Harley-Davidson,Touring,Other,False,owner,Clear
Used,17500,4899,2015.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,1325,2999,2001.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,16000,7956,2016.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,3050,20400,2006.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,9000,100000,2008.0,Harley-Davidson,Other,Cruiser,False,private seller,Clear
Used,32333,1795,2016.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,4000,1050,2015.0,Harley-Davidson,Other,Standard,False,private seller,Clear
Used,23500,1812,2016.0,Harley-Davidson,Softail,Cruiser,True,private seller,Clear
Used,21999,8621,2017.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,2550,12000,2015.0,Harley-Davidson,Softail,Cruiser,False,private seller,Clear
Used,4500,69553,2003.0,Harley-Davidson,Softail,Cruiser,True,dealer,Clear
Used,9300,14000,2008.0,Harley-Davidson,Softail,Touring,False,private seller,Clear
Used,11500,16748,2008.0,Harley-Davidson,Touring,Other,True,private seller,Clear
Used,3000,44000,2002.0,Harley-Davidson,Dyna,Standard,False,private seller,Clear
Used,680,13000,2013.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,4900,40600,1996.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,22500,19998,2008.0,Harley-Davidson,Touring,Other,True,dealer,Clear
Used,29900,703,2016.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,29883,1835,2016.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,2650,99546,2005.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,24999,2000,2016.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,25000,500,2015.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,65000,5200,2015.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,10995,18561,2010.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,17400,8338,2009.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,8500,13397,2006.0,Harley-Davidson,V-ROD,Sport Bike,False,private seller,Clear
Used,22500,19998,2008.0,Harley-Davidson,Touring,Other,True,dealer,Clear
Used,29900,703,2016.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,29883,1835,2016.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,9000,16000,2007.0,Harley-Davidson,Softail,Cruiser,False,private seller,Clear
Used,2650,99546,2005.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,11500,27095,1999.0,Harley-Davidson,Softail,Standard,True,dealer,Clear
Used,24999,2000,2016.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,25000,500,2015.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,65000,5200,2015.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,10995,18561,2010.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,17400,8338,2009.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,7295,8400,2005.0,Harley-Davidson,Softail,Sport Touring,False,private seller,Clear
Used,8700,37500,1999.0,Harley-Davidson,Softail,Cruiser,True,private seller,Clear
Used,8500,13397,2006.0,Harley-Davidson,V-ROD,Sport Bike,False,private seller,Clear
Used,5995,41906,2000.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,15500,19767,2015.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,28600,2310,2016.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,6500,13475,2006.0,Harley-Davidson,Softail,Cruiser,True,private seller,Clear
Used,9995,7197,2008.0,Harley-Davidson,Softail,Cruiser,True,dealer,Clear
Used,7500,19000,2006.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,17900,750,2016.0,Harley-Davidson,Softail,Cruiser,False,private seller,Clear
Used,29226,7530,2015.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,7100,26723,2008.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,11800,20663,2011.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,4450,61140,2005.0,Harley-Davidson,Softail,Standard,False,dealer,Clear
Used,18300,8000,2012.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,100,5464,2014.0,Harley-Davidson,Softail,Cruiser,False,dealer,Clear
Used,8000,3281,2016.0,Harley-Davidson,Softail,Cruiser,False,dealer,Clear
Used,3975,47132,2003.0,Harley-Davidson,Dyna,Sport Touring,False,dealer,Clear
Used,4500,18900,2000.0,Harley-Davidson,Softail,Touring,True,private seller,Clear
Used,4850,14405,2009.0,Harley-Davidson,Sportster,Cruiser,False,dealer,Clear
Used,36992,4140,2016.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,13000,5500,2016.0,Harley-Davidson,Softail,Cruiser,False,private seller,Clear
Used,22500,7251,2014.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,14999,36865,2006.0,Harley-Davidson,Softail,Other,True,private seller,Clear
Used,49900,6500,2013.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,7000,9000,2014.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,28000,10001,2013.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,25500,3247,2016.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,16000,11847,2013.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,4850,14405,2009.0,Harley-Davidson,Sportster,Cruiser,False,dealer,Clear
Used,1,66748,2007.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,6250,27000,2007.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,15995,14090,2016.0,Harley-Davidson,Touring,Cruiser,True,dealer,Clear
Used,13850,1135,2015.0,Harley-Davidson,Softail,Cruiser,True,private seller,Clear
Used,15900,12107,1995.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,5500,5700,2012.0,Harley-Davidson,Sportster,Sport Touring,False,private seller,Clear
Used,7300,4500,2012.0,Harley-Davidson,Touring,Cruiser,False,private seller,Clear
Used,11500,3600,2005.0,Harley-Davidson,Softail,Standard,True,private seller,Clear
Used,4158,5202,2009.0,Harley-Davidson,Sportster,Cruiser,False,private seller,Clear
Used,10400,7440,2011.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,10100,19066,2006.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,25000,6600,2012.0,Harley-Davidson,Softail,Cruiser,False,dealer,Clear
Used,14500,7700,2009.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,18495,9663,2016.0,Harley-Davidson,Touring,Cruiser,True,dealer,Clear
Used,6900,42054,2006.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,9000,6051,2012.0,Harley-Davidson,Other,Cruiser,False,private seller,Clear
Used,10900,3850,2006.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,17499,11500,2015.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,17500,22463,2010.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,2950,34462,2005.0,Harley-Davidson,Sportster,Sport Touring,True,private seller,Clear
Used,4100,1230,2013.0,Harley-Davidson,Sportster,Cruiser,False,dealer,Clear
Used,20200,8084,2009.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,7499,81818,2008.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,8099,18020,2005.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,9000,16000,2007.0,Harley-Davidson,Softail,Cruiser,False,private seller,Clear
Used,11500,27095,1999.0,Harley-Davidson,Softail,Standard,True,dealer,Clear
Used,11600,15027,2008.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,10000,11,1958.0,Harley-Davidson,Touring,Cruiser,False,private seller,Clear
Used,12000,12600,2001.0,Harley-Davidson,Softail,Other,False,private seller,Clear
Used,14500,7700,2009.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,18495,9663,2016.0,Harley-Davidson,Touring,Cruiser,True,dealer,Clear
Used,14250,2810,2015.0,Harley-Davidson,Softail,Cruiser,False,dealer,Clear
New,15680,330,2016.0,Harley-Davidson,Softail,Touring,True,private seller,Clear
Used,6900,42054,2006.0,Harley-Davidson,Touring,Touring,True,dealer,Clear
Used,9000,6051,2012.0,Harley-Davidson,Other,Cruiser,False,private seller,Clear
Used,10950,7350,2009.0,Harley-Davidson,Softail,Other,False,private seller,Clear
Used,10900,3850,2006.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,17499,11500,2015.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,17500,22463,2010.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,2950,34462,2005.0,Harley-Davidson,Sportster,Sport Touring,True,private seller,Clear
Used,4100,1230,2013.0,Harley-Davidson,Sportster,Cruiser,False,dealer,Clear
Used,20200,8084,2009.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,7499,81818,2008.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,8099,18020,2005.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,11600,15027,2008.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,10000,11,1958.0,Harley-Davidson,Touring,Cruiser,False,private seller,Clear
Used,10495,20776,2005.0,Harley-Davidson,Softail,Cruiser,True,dealer,Clear
Used,15995,18083,2015.0,Harley-Davidson,Touring,Cruiser,True,dealer,Clear
Used,24900,12975,2016.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
